ProdAreaName,MineData_SRC,PA_Area,WellfieldArea,MineArea_2016,MineArea_2016_RMK,PermitArea,LeaseArea
Alta Mesa,"TCEQ, 2006b, Beahm, 2016; TCEQ, 2016",,,,,2312,4597.67
Alta Mesa PAA-1,"TCEQ, 2006b; TCEQ, 2016",,,243.9,restoration,,
Alta Mesa PAA-2,"TCEQ, 2008; TCEQ, 2016",40,,187.5,standby,,
Alta Mesa PAA-3,"TCEQ, 2006b; TCEQ, 2016",18,,90.7,standby,,
Alta Mesa PAA-4,"TCEQ, 2009a; TCEQ, 2016",15,,133,standby,,
Alta Mesa PAA-5,"TCEQ, 2016",40,,230,standby,,
Alta Mesa PAA-6,"TCEQ, 2016",91,,258.5,standby,,
Alta Mesa PAA-7,"TCEQ, 2016",91,,250.1,not mined,,
Kingsville Dome,"TWC, 1990; URI_INC a; IAEA, 2016",,,,,2135,2857
Kingsville Dome PAA-1,"UR_INC, 1988a, TWC, 1990",70,,155,,,
Kingsville Dome PAA-2,"TWC, 1990; UR_INC, 1988a",34,,208,,,
Kingsville Dome PAA-3,"TWC, 1990; UR_INC, 1988a",20,,151,,,
Mt. Lucas,"EMC, 1980; EverestMC, 1983; Knape, 1984; EverestMC, 1981",,,,,6023,4360
Mt. Lucas PAA-1 East,"EverestMC, 1980; EverestMC, 1981; EverestMC, 1986b; TWC, 1991",15,2.69,24,,,
Mt. Lucas PAA-2 (EA) East,"EverestEX, 1992a; EverestMC, 1980",10,2.81,28,,,
Mt. Lucas PAA-3 (H) East,"EverestMC, 1980; EverestMC, 1983; EverestMC, 1986b",22,2.43,72,,,
Mt. Lucas PAA-4(HM) East,"EverestEX, 1993; EverestMC, 1980",11,4.57,30,,,
Mt. Lucas PAA-5 (Lillian) East,"EverestEX, 1992b; EverestMC, 1980",10,1.46,30,,,
Mt. Lucas PAA-6 (“M”) West,"EverestEX, 1994b, EverestMC, 1980",6,3.77,38.52,,,
"Mt. Lucas PAA-7 (""J"") West","EverestMC, 1980; EverestEX, 1995b",32,5.28,121.2,,,
"Mt. Lucas PAA-8 (“South J"") West","EverestMC, 1986b",6,2.08,38,,,
"Mt. Lucas PAA-9 (""J1”) West","EverestMC, 1986b",5,1.8,,,,
Palangana Dome 1985-1986 (Chevron),"TWC, 1985",31,,85.5,,161.7,6272
Palangana Dome 1977 (Union Carbide),"SRK, 2010; TWQB, 1977; Knape, 1984",5.3,,31,,31,
Palangana/La Palangana Project,"IAEA, 2016",,,,,6151,8791.28
La Palangana Mine PAA-1,"SRK, 2010",11,,85,,,
La Palangana Mine PAA-2,"SRK, 2010",5,,55,,,
La Palangana Mine PAA-3,"STMV, 2013b",,,55,,,
La Palangana Mine PAA-4,"Knape, 1984; STMV, 2013a ",,13,95,predicted,,
Rosita,"IAEA, 2016",,,,,2278,
Rosita PAA-1,"UR_INC, 2010a; UR_INC, 2010b",,24,173,,,
Rosita PAA-2,"UR_INC, 2010a",,26,382,,,
Rosita PAA-3,"UR_INC, 2010a",,12,159,,,
Rosita PAA-4,"UR_INC, 2010a",,,90,,,
