MineName,Class_III_PermitNo,Class_III_PermitNo_RMK,Class_III_PermitNo_SRC,Class_I_PermitNo,Class_I_PermitNo_RMK,Class_I_PermitNo_SRC
Alta Mesa,UR03000,no TCEQ records found,"Ryan, 2017",WDW365,,"Ryan, 2017"
Alta Mesa,UR03060,,"Ryan, 2017",WDW366,,"Ryan, 2017"
Alta Mesa,UR03055,revoked,"Ryan, 2017; TCEQ, 2003b",WDW337,revoked,"TCEQ, 2003a"
Alta Mesa,,,,WDW336,revoked,"TCEQ, 2003c"
Kingsville Dome,UR02827,,,WDW248,,"Ryan, 2017"
Mt. Lucas,UR02381,,,WDW194,,"Ryan, 2017"
Palangana Dome,UR02051 ,,,WDW134,,"Ryan, 2017"
La Palangana ,UR03070 ,,,WDW418,,"Ryan, 2017"
La Palangana ,,,,WDW419,,"Ryan, 2017"
Rosita,UR02880 ,,,WDW250,,"Ryan, 2017"
